route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
8,WEEKDAY,8.WK.SB.01,"Brookline",0,13,8_0,0,0
8,WEEKDAY,8.WK.NB.01,"Brookline/RMT",1,13,8_1,0,0
8,SATURDAY,8.ST.SB.01,"Brookline",0,13,8_0,0,0
8,SATURDAY,8.ST.NB.01,"Brookline/RMT",1,13,8_1,0,0
9,WEEKDAY,9.WK.SB.01,"Shillington via Lancaster Avenue",0,14,9_0,0,0
9,WEEKDAY,9.WK.SB.02,"Shillington via Lancaster Avenue",0,15,9_0,0,0
9,WEEKDAY,9.WK.NB.01,"RMT via Lancaster Avenue",1,14,9_1,0,0
9,WEEKDAY,9.WK.NB.02,"RMT via Lancaster Avenue",1,15,9_1,0,0
9,SATURDAY,9.ST.SB.01,"Shillington via Lancaster Avenue",0,14,9_0,0,0
9,SATURDAY,9.ST.NB.01,"RMT via Lancaster Avenue",1,14,9_1,0,0
10,WEEKDAY,10.WK.WB.01,"Wyomissing Park/Reading Hospital",0,16,10_0,0,0
10,WEEKDAY,10.WK.WB.02,"Wyomissing Park/Reading Hospital",0,17,10_0,0,0
10,WEEKDAY,10.WK.EB.01,"Wyomissing Park/RMT",1,16,10_1,0,0
10,WEEKDAY,10.WK.EB.02,"Wyomissing Park/RMT",1,17,10_1,0,0
10,SATURDAY,10.ST.WB.01,"Wyomissing Park/Reading Hospital",0,16,10_0,0,0
10,SATURDAY,10.ST.EB.01,"Wyomissing Park/RMT",1,16,10_1,0,0
10,SUNDAY,10.SN.WB.01,"Wyomissing Park/Reading Hospital",0,16,10_0,0,0
10,SUNDAY,10.SN.EB.01,"Wyomissing Park/RMT",1,16,10_1,0,0
11,WEEKDAY,11.WK.WB.01,"Spring Township/State Hill Road",0,18,11_0,0,0
11,WEEKDAY,11.WK.WB.02,"Spring Township/State Hill Road",0,19,11_0,0,0
11,WEEKDAY,11.WK.EB.01,"Spring Township/RMT",1,18,11_1,0,0
11,WEEKDAY,11.WK.EB.02,"Spring Township/RMT",1,19,11_1,0,0
11,SATURDAY,11.ST.WB.01,"Spring Township/State Hill Road",0,18,11_0,0,0
11,SATURDAY,11.ST.EB.01,"Spring Township/RMT",1,18,11_1,0,0
12,WEEKDAY,12.WK.WB.01,"Wernersville State Hospital",0,20,12_0,0,0
12,WEEKDAY,12.WK.WB.02,"Wernersville State Hospital",0,21,12_0,0,0
12,WEEKDAY,12.WK.WB.03,"Wernersville State Hospital",0,22,12_0,0,0
12,WEEKDAY,12.WK.EB.01,"Wernersville State Hospital/RMT",1,20,12_1,0,0
12,WEEKDAY,12.WK.EB.02,"Wernersville State Hospital/RMT",1,21,12_1,0,0
12,WEEKDAY,12.WK.EB.03,"Wernersville State Hospital/RMT",1,22,12_1,0,0
13,WEEKDAY,13.WK.WB.01,"Wyomissing Hills/Berkshire Mall",0,23,13_0,0,0
13,WEEKDAY,13.WK.WB.02,"Wyomissing Hills/Berkshire Mall",0,24,13_0,0,0
13,WEEKDAY,13.WK.EB.01,"Wyomissing Hills/RMT",1,23,13_1,0,0
13,WEEKDAY,13.WK.EB.02,"Wyomissing Hills/RMT",1,24,13_1,0,0
13,SATURDAY,13.ST.WB.01,"Wyomissing Hills/Berkshire Mall",0,23,13_0,0,0
13,SATURDAY,13.ST.EB.01,"Wyomissing Hills/RMT",1,23,13_1,0,0
13,SUNDAY,13.SN.WB.01,"Wyomissing Hills/Berkshire Mall",0,23,13_0,0,0
13,SUNDAY,13.SN.EB.01,"Wyomissing Hills/RMT",1,23,13_1,0,0
14,WEEKDAY,14.WK.WB.01,"Broadcasting Square via North Park Road",0,25,14_0,0,0
14,WEEKDAY,14.WK.WB.02,"Broadcasting Square via North Park Road",0,26,14_0,0,0
14,WEEKDAY,14.WK.EB.01,"RMT via North Park Road",1,25,14_1,0,0
14,WEEKDAY,14.WK.EB.02,"RMT via North Park Road",1,26,14_1,0,0
14,SATURDAY,14.ST.WB.01,"Broadcasting Square via North Park Road",0,25,14_0,0,0
14,SATURDAY,14.ST.EB.01,"RMT via North Park Road",1,25,14_1,0,0
14,SUNDAY,14.SN.WB.01,"Broadcasting Square via North Park Road",0,25,14_0,0,0
14,SUNDAY,14.SN.EB.01,"RMT via North Park Road",1,25,14_1,0,0
15,WEEKDAY,15.WK.WB.01,"Reading Regional Airport/St. Joseph Medical Center",0,27,15_0,0,0
15,WEEKDAY,15.WK.WB.02,"Reading Regional Airport/St. Joseph Medical Center",0,28,15_0,0,0
15,WEEKDAY,15.WK.EB.01,"Reading Regional Airport/RMT",1,27,15_1,0,0
15,WEEKDAY,15.WK.EB.02,"Reading Regional Airport/RMT",1,28,15_1,0,0
15,SATURDAY,15.ST.WB.01,"Reading Regional Airport/St. Joseph Medical Center",0,27,15_0,0,0
15,SATURDAY,15.ST.EB.01,"Reading Regional Airport/RMT",1,27,15_1,0,0
15,SUNDAY,15.SN.WB.01,"Reading Regional Airport/St. Joseph Medical Center",0,27,15_0,0,0
15,SUNDAY,15.SN.EB.01,"Reading Regional Airport/RMT",1,27,15_1,0,0
16,WEEKDAY,16.WK.WB.01,"Schuylkill Avenue",0,29,16_0,0,0
16,WEEKDAY,16.WK.EB.01,"Schuylkill Avenue/RMT",1,29,16_1,0,0
16,SATURDAY,16.ST.WB.01,"Schuylkill Avenue",0,29,16_0,0,0
16,SATURDAY,16.ST.EB.01,"Schuylkill Avenue/RMT",1,29,16_1,0,0
17,WEEKDAY,17.WK.NB.01,"Riverside/Cotton Street",0,30,17_0,0,0
17,WEEKDAY,17.WK.NB.02,"Riverside/Cotton Street",0,31,17_0,0,0
17,WEEKDAY,17.WK.SB.01,"Riverside/Cotton Street",1,30,17_1,0,0
17,WEEKDAY,17.WK.SB.02,"Riverside/Cotton Street",1,31,17_1,0,0
17,SATURDAY,17.ST.NB.01,"Riverside/Cotton Street",0,30,17_0,0,0
17,SATURDAY,17.ST.SB.01,"Riverside/Cotton Street",1,30,17_1,0,0
17,SUNDAY,17.SN.NB.01,"Riverside/Cotton Street",0,30,17_0,0,0
17,SUNDAY,17.SN.SB.01,"Riverside/Cotton Street",1,30,17_1,0,0
18,WEEKDAY,18.WK.NB.01,"Hamburg Express",0,32,18_0,0,0
18,WEEKDAY,18.WK.NB.02,"Hamburg Express",0,32,18_0,0,0
18,WEEKDAY,18.WK.SB.01,"Hamburg Express/RMT",1,32,18_1,0,0
18,WEEKDAY,18.WK.SB.02,"Hamburg Express/RMT",1,32,18_1,0,0
19,WEEKDAY,19.WK.NB.01,"Kutztown Express",0,33,19_0,0,0
19,WEEKDAY,19.WK.NB.02,"Kutztown Express",0,33,19_0,0,0
19,WEEKDAY,19.WK.SB.01,"Kutztown Express/RMT",1,33,19_1,0,0
19,WEEKDAY,19.WK.SB.02,"Kutztown Express/RMT",1,33,19_1,0,0
20,WEEKDAY,20.WK.EB.01,"Pottstown Express",0,34,20_0,0,0
20,WEEKDAY,20.WK.EB.02,"Pottstown Express",0,34,20_0,0,0
20,WEEKDAY,20.WK.WB.01,"Pottstown Express/RMT",1,34,20_1,0,0
20,WEEKDAY,20.WK.WB.02,"Pottstown Express/RMT",1,34,20_1,0,0
